,Location,Pop./km2,Pop./sq mi,Population,Area(km2),Area(sq mi),Notes
171,South Africa,49,130,"60,414,495","1,221,037","471,445",
172,Djibouti,49,130,"1,136,455","23,200","9,000",
173,Liberia,49,130,"5,418,377","111,369","43,000",
174,Turks and Caicos Islands (UK),49,130,"46,062",948,366,
175,Easter Island,47,120,7750,163.6,63.2,
176,Belarus,46,120,"9,498,238","207,600","80,200",
177,Colombia,46,120,"52,695,952","1,141,748","440,831",[20]
178,Montenegro,45,120,"626,485","13,888","5,362",
179,DR Congo,44,110,"102,262,809","2,345,410","905,570",
180,"Saint Helena, Ascension and Tristan da Cunha (UK)",43,110,"5,314",123,47,
181,Cocos (Keeling) Islands (Australia),43,110,602,14,5.4,[21]
182,Zimbabwe,43,110,"16,665,409","390,757","150,872",
183,Montserrat (UK),43,110,"4,387",103,40,
184,Mozambique,42,110,"33,897,354","799,380","308,640",
185,Lithuania,42,110,"2,718,352","65,286","25,207",
186,Palau,39,100,"18,058",459,177,
187,Faroe Islands (Denmark),38,98,"53,270","1,393",538,
188,United States,35,91,"339,996,564","9,833,517","3,796,742",
189,Kyrgyzstan,34,88,"6,735,348","199,949","77,201",
190,Laos,32,83,"7,633,779","236,800","91,400",
191,Venezuela,31,80,"28,838,499","929,690","358,960",
192,Eritrea,31,80,"3,748,902","121,144","46,774",
193,Bahamas,30,78,"412,624","13,940","5,380",
194,Angola,29,75,"36,684,203","1,246,700","481,400",
195,Somaliland,29,75,"4,914,100","167,283","64,588",[22]
196,Estonia,29,75,"1,322,766","45,399","17,529",
197,Somalia,28,73,"18,143,379","637,657","246,201",
198,Latvia,28,73,"1,862,700","64,594","24,940",
199,Abkhazia,28,73,"245,424","8,662","3,344",[23]
200,Vanuatu,27,70,"334,506","12,189","4,706",
201,Zambia,27,70,"20,569,738","752,612","290,585",
202,Sudan,27,70,"48,109,006","1,765,048","681,489",
203,Peru,27,70,"34,352,719","1,285,216","496,225",
204,Chile,26,67,"19,629,590","756,102","291,933",
205,Solomon Islands,26,67,"740,425","28,896","11,157",
206,Brazil,25,65,"216,422,446","8,510,346","3,285,863",
207,Sweden,24,62,"10,612,086","438,574","169,334",
208,Saint Pierre and Miquelon (France),24,62,"5,840",242,93,
209,Papua New Guinea,22,57,"10,329,931","462,840","178,700",
210,Niger,21,54,"27,202,843","1,267,000","489,000",
211,Bhutan,21,54,"787,425","38,394","14,824",
212,Uruguay,20,52,"3,423,109","173,626","67,037",
213,New Zealand,20,52,"5,228,100","268,107","103,517",
214,Algeria,19,49,"45,606,481","2,381,741","919,595",
215,Ã…land (Finland),19,49,"30,237","1,583",611,
216,Mali,19,49,"23,293,699","1,240,192","478,841",
217,Belize,18,47,"410,825","22,965","8,867",
218,Congo,18,47,"6,106,869","342,000","132,000",
219,South Sudan,17,44,"11,088,796","658,841","254,380",
220,Saudi Arabia,17,44,"36,947,025","2,206,714","852,017",
221,Finland,16,41,"5,545,475","336,884","130,072",
222,Argentina,16,41,"45,773,884","2,796,427","1,079,707",
223,South Ossetia,16,41,"57,095","3,632","1,402",[24]
224,New Caledonia (France),15,39,"292,991","19,100","7,400",
225,Paraguay,15,39,"6,109,644","406,752","157,048",[25]
226,Oman,15,39,"4,644,384","309,980","119,680",
227,Chad,14,36,"18,278,568","1,284,000","496,000",
228,Norway,14,36,"5,474,360","385,207","148,729",[f]
229,Turkmenistan,13,34,"6,516,100","488,100","188,500",
230,Christmas Island (Australia),12,31,"1,692",136,53,[26]
231,Bolivia,11,28,"12,388,571","1,098,581","424,164",
232,Central African Republic,9,23,"5,742,316","622,984","240,535",
233,Gabon,9,23,"2,436,567","267,668","103,347",
234,Russia,8,21,"144,444,359","17,098,246","6,601,670",
235,Niue,7,18,"1,935",260,100,
236,Kazakhstan,7,18,"19,606,634","2,724,902","1,052,091",
237,Mauritania,5,13,"4,862,989","1,030,700","398,000",
238,Botswana,5,13,"2,675,353","582,000","225,000",
239,Libya,4,10,"6,888,388","1,676,198","647,184",
240,Canada,4,10,"41,012,563","9,984,670","3,855,100",
241,Suriname,4,10,"623,237","163,820","63,250",
242,Guyana,4,10,"813,834","214,969","83,000",
243,French Guiana (France),4,10,"312,155","83,534","32,253",
244,Iceland,4,10,"375,319","103,000","40,000",
245,Australia,3,7.8,"26,439,112","7,692,024","2,969,907",
246,Namibia,3,7.8,"2,604,172","825,229","318,623",
247,Western Sahara (disputed),2,5.2,"587,259","266,000","103,000",[g]
248,Mongolia,2,5.2,"3,447,157","1,564,116","603,909",
249,Pitcairn Islands (UK),0.9,2.3,40,47,18,[h]
250,Falkland Islands (UK),0.3,0.78,"3,791","12,173","4,700",
251,Greenland (Denmark),0.03,0.078,"56,643","2,166,086","836,330",
